"survyear","state","total_enrollment","sum_american","sum_asian","sum_hisp","sum_black","sum_white"
2004,"KENTUCKY","688475","1182","5498","11602","66747","551851"
2004,"KENTUCKY",NULL,"2364","10996","23204","133494","1103702"
2004,"LOUISIANA","648313","5242","9827","14093","345339","349780"
2004,"LOUISIANA","660561","5242","9827","14093","345339","349780"
2004,"LOUISIANA","661015","5242","9827","14093","345339","349780"
2004,"LOUISIANA","662302","5242","9827","14093","345339","349780"
2004,"LOUISIANA","662774","5242","9827","14093","345339","349780"
2004,"LOUISIANA","662971","5242","9827","14093","345339","349780"
2004,"LOUISIANA","663802","5242","9827","14093","345339","349780"
2004,"LOUISIANA","665109","5242","9827","14093","345339","349780"
2004,"LOUISIANA","665441","5242","9827","14093","345339","349780"
2004,"LOUISIANA","665478","5242","9827","14093","345339","349780"
2004,"LOUISIANA","671156","5242","9827","14093","345339","349780"
2004,"LOUISIANA","717625","5242","9827","14093","345339","349780"
2004,"LOUISIANA","721414","5242","9827","14093","345339","349780"
2004,"LOUISIANA","723252","5242","9827","14093","345339","349780"
2004,"LOUISIANA","725027","5242","9827","14093","345339","349780"
2004,"LOUISIANA","737223","5242","9827","14093","345339","349780"
2004,"LOUISIANA","750755","5242","9827","14093","345339","349780"
2004,"LOUISIANA","764642","5242","9827","14093","345339","349780"
